District name	City	County name
Stone Co School Dist	Wiggins	Stone
Stovall Special Education Complex Administration	Oxford	Lafayette
Sunflower Co School Dist	Indianola	Sunflower
Tate Co School Dist	Senatobia	Tate
Tishomingo Co Sp Mun School Dist	Iuka	Tishomingo
Tucker Elementary School	Philadelphia	Neshoba
Tunica County School District	Tunica	Tunica
Tupelo Public School Dist	Tupelo	Lee
Union Co School Dist	New Albany	Union
Union Public School Dist	Union	Newton
Vicksburg Warren School Dist	Vicksburg	Warren
Walthall Co School Dist	Tylertown	Walthall
Water Valley School District	Water Valley	Yalobusha
Wayne Co School Dist	Waynesboro	Wayne
Webster Co School Dist	Eupora	Webster
West Bolivar School Dist	Rosedale	Bolivar
West Jasper Consolidated Schools	Bay Springs	Jasper
West Point School Dist	West Point	Clay
West Tallahatchie School District	Webb	Tallahatchie
Western Line School District	Avon	Washington
Wilkinson Co School Dist	Woodville	Wilkinson
Winona Separate School Dist	Winona	Montgomery
Yazoo City Municipal School Dist	Yazoo City	Yazoo
Yazoo Co School Dist	Yazoo City	Yazoo
