"state","county","staycz_pooled_pooled_mean"
28,95,0.69192034
28,95,0.61153591
28,95,0.65966988
28,95,0.62055051
28,95,0.71954161
28,95,0.6366387
28,95,0.68580502
28,95,0.65974957
28,97,0.59185702
28,97,0.50298804
28,97,0.53783369
28,99,0.6661033
28,99,0.7080397
28,99,0.65192127
28,99,0.67506319
28,99,0.76835412
28,99,0.73461074
28,99,0.799568
28,101,0.73297
28,101,0.68276268
28,101,0.70601225
28,101,0.66160947
28,101,0.56162691
28,103,0.61631405
28,103,0.57315493
28,103,0.59918958
28,105,0.64423931
28,105,0.55630398
28,105,0.55202919
28,105,0.5200575
28,105,0.45401898
28,105,0.34707311
28,105,0.38585863
28,105,0.54560256
28,107,0.61442053
28,107,0.62685561
28,107,0.65959722
28,107,0.71910173
28,107,0.68228775
28,107,0.6420244
28,109,0.68200278
28,109,0.64678466
28,109,0.53266495
28,109,0.63906789
28,109,0.75096709
28,109,0.69542927
28,109,0.61065507
28,109,0.59655923
28,109,0.6590355
28,111,0.61241084
28,111,0.70063818
28,111,0.68174511
28,113,0.60641223
28,113,0.56793028
28,113,0.55866891
28,113,0.59358615
28,113,0.44909137
28,113,0.5321697
28,113,0.65479058
28,113,0.64264411
28,115,0.72359931
28,115,0.70676655
28,115,0.71675009
28,115,0.67212361
28,115,0.77400446
28,115,0.78795207
28,117,0.77928519
28,117,0.651793
28,117,0.62261289
28,117,0.73647493
28,117,0.62778163
28,119,0.49221629
28,119,0.47205046
28,119,0.50185871
28,121,0.80552673
28,121,0.72944421
28,121,0.62944317
28,121,0.69134647
28,121,0.61329144
28,121,0.60091996
28,121,0.64134753
28,121,0.58483392
28,121,0.54189461
28,121,0.61098981
28,121,0.70452327
28,121,0.68120694
28,121,0.8084088
28,121,0.73492467
28,121,NA
28,121,0.73643064
28,121,0.69442987
28,121,0.69631135
28,121,0.74561381
28,121,0.69728845
28,121,0.7126801
28,121,0.71837854
28,121,0.806813
28,121,0.75161809
28,121,0.75229502
28,121,0.78389561
28,121,NA
28,123,0.68482345
28,123,0.70394272
28,123,0.80467093
28,123,0.765351
28,123,0.65644121
28,123,0.70856154
28,125,0.41802955
28,125,0.4158963
28,127,0.73233551
28,127,0.72019988
28,127,0.78768027
28,127,0.68010205
28,127,0.60163897
28,129,0.61887044
28,129,0.57467532
28,129,0.61722237
28,131,0.67801088
28,131,0.73984295
28,131,0.75364941
28,133,0.47473371
28,133,0.47068971
28,133,0.48844993
28,133,0.41361049
28,133,0.50376999
28,133,0.51720476
28,133,0.5069952
28,135,0.65127933
28,135,0.64604461
28,135,0.50629675
28,135,0.5196411
28,137,0.82190096
28,137,0.76995456
28,137,0.74860531
28,137,0.71646369
28,137,0.66678864
28,139,0.63366669
28,139,0.73595589
28,139,0.63349116
28,139,0.66822004
28,141,0.70379585
28,141,0.64055073
28,141,0.68229997
28,141,0.65980041
28,143,0.72476697
28,143,0.77503413
28,145,0.6129294
28,145,0.70018321
28,145,0.58116174
28,145,0.59090126
28,145,0.5876053
28,145,0.69355983
28,147,0.6531778
28,147,0.60368598
28,147,0.61446768
28,149,0.56201243
28,149,0.62849063
28,149,0.63141704
28,149,0.60342419
28,149,0.59925604
28,149,0.48898876
28,149,0.55457312
28,149,0.52559555
28,149,0.47220713
28,149,0.57567376
28,149,0.5121839
28,149,0.57344574
28,151,0.48240006
28,151,0.47646594
28,151,0.47560337
28,151,0.50227219
28,151,0.52083105
28,151,0.4083378
28,151,0.35745069
28,151,0.42995223
28,151,0.46882048
28,151,0.4995296
28,151,0.51747495
28,151,0.48196778
28,151,0.4664889
28,151,0.45393503
28,151,0.5434168
28,151,0.42414862
28,151,0.4796271
28,151,0.42631117
28,151,0.4026216
28,153,0.59452558
28,153,0.63775134
28,153,0.6723448
28,153,0.64724815
28,155,0.62779838
28,155,0.57482988
28,155,0.50991082
28,157,0.58967942
28,157,0.42776781
28,159,0.60895514
28,159,0.60906643
28,159,0.61736208
28,159,0.58868474
28,159,0.54377544
28,161,0.6380049
28,161,0.65159672
28,161,0.58678436
28,163,0.56083751
28,163,0.48703504
28,163,0.4728272
28,163,0.55144167
28,163,0.52760535
28,163,0.54385656
