"state","county","staycz_pooled_pooled_mean"
28,1,0.52605492
28,1,0.48200184
28,1,0.48199514
28,1,0.51527327
28,1,0.48279005
28,1,0.3770327
28,1,0.40981743
28,1,0.52723926
28,1,0.37326774
28,3,0.69414473
28,3,0.57635981
28,3,0.69348842
28,3,0.75756305
28,3,0.71408409
28,3,0.80471486
28,3,0.76532924
28,5,0.54526484
28,5,0.5545724
28,5,0.55267209
28,7,0.55978233
28,7,0.59063303
28,7,0.57738143
28,7,0.54616559
28,7,0.52662641
28,7,0.52812886
28,9,0.59424102
28,9,0.62859488
28,11,0.42700917
28,11,0.49072453
28,11,0.43324101
28,11,0.58153558
28,11,0.44714734
28,11,0.40135911
28,11,0.4067407
28,11,0.51029515
28,13,0.70198023
28,13,0.62081164
28,13,0.64600068
28,13,0.69304651
28,13,0.56540424
28,15,0.58414358
28,15,0.5213303
28,17,0.78627747
28,17,0.73815024
28,17,0.70075881
28,17,0.71591061
28,19,0.68437779
28,19,0.52885729
28,19,0.58268642
28,21,0.57492173
28,21,0.57172304
28,21,0.57953918
28,23,0.63086981
28,23,0.66316342
28,23,0.60080355
28,23,0.54647076
28,25,0.60629767
28,25,0.64520979
28,25,0.63037163
28,25,0.55582398
28,25,0.52232957
28,27,0.49783486
28,27,0.4299238
28,27,0.46266904
28,27,0.46058667
28,27,0.48667502
28,27,0.51792908
28,27,0.4876579
28,29,0.76517051
28,29,0.78330225
28,29,0.77286005
28,29,0.72083741
28,29,0.70090538
28,29,0.66882014
28,31,0.627918
28,31,0.62951612
28,31,0.66456157
28,31,0.69605583
28,33,0.68611556
28,33,0.75369972
28,33,0.69905227
28,33,0.80651355
28,33,0.79248399
28,33,0.7430734
28,33,0.77235937
28,33,0.69773793
28,33,0.78390467
28,33,0.74200284
28,33,0.7661832
28,33,0.72381234
28,33,0.74969125
28,33,0.75990963
28,33,0.72170264
28,33,0.73404115
28,33,0.70905602
28,33,0.76399517
28,33,0.71252817
28,33,0.71239746
28,33,0.71103019
28,33,0.76936764
28,33,0.76258969
28,33,0.68553919
28,33,0.73423719
28,33,0.68094546
28,33,0.72201771
28,33,0.70828366
28,33,0.78220147
28,33,0.7292425
28,33,0.71355122
28,33,0.77489072
28,33,0.78750336
28,35,0.55666715
28,35,0.66938078
28,35,0.71974194
28,35,0.67091632
28,35,0.48347959
28,35,0.46374261
28,35,0.55629492
28,35,0.58409214
28,35,0.65373778
28,35,0.64098501
28,35,0.66693789
28,35,0.63597608
28,35,0.64520508
28,35,0.62361556
28,35,0.69182789
28,35,0.68528026
28,35,0.6478768
28,37,0.53405273
28,37,0.56706023
28,39,0.7203812
28,39,0.73358113
28,39,0.69395375
28,39,0.76199353
28,39,0.80368173
28,41,0.5985316
28,41,0.73674864
28,43,0.53788102
28,43,0.56504023
28,43,0.54645419
28,43,0.56088495
28,43,0.46723413
28,45,0.63681668
28,45,0.68232054
28,45,0.65180135
28,45,0.67128664
28,45,0.48048368
28,45,0.72099906
28,45,0.71290648
28,47,0.65733749
28,47,0.70889437
28,47,0.55097753
28,47,0.43277687
28,47,0.57261378
28,47,0.58836263
28,47,0.61287451
28,47,0.5339765
28,47,0.625705
28,47,0.59717262
28,47,0.58329701
28,47,0.61703593
28,47,0.75221962
28,47,0.679735
28,47,0.71422714
28,47,0.71284747
28,47,0.72458959
28,47,0.58284861
28,47,0.68043596
28,47,0.63764125
28,47,0.581034
28,47,0.58216316
28,47,0.6488483
28,47,0.64605981
28,47,0.67727792
28,47,0.67945033
28,47,0.65268964
28,47,0.67880315
28,47,0.64841694
28,47,0.65555197
28,47,0.71519488
28,47,0.62681526
28,47,0.59844744
28,47,0.71382827
28,47,0.69440001
28,47,0.72449988
28,47,0.73536015
28,47,0.82990986
28,47,0.70384359
28,47,0.65217036
28,47,0.67568791
